Name
JavaScript
React.js
AngularJS
HTML5
CSS
NodeJS
Responsive Web Design
Website Performance Optimization
C#
Linux
Ionic Framework
Gulp
Xamarin.Forms
jQuery
Java EE
Microsoft SQL Server
GruntJS
Entity Framework
Business English
BackboneJS
Redux
